"features"	"surprisal"	"normSurp"	"length"	"affixLen"	"normSurpAffix"	"freq"	"log_freq"
"1"	"V;COND;1;PL"	1.70268111626789	0.134577456567437	13.1906365779724	5.06012125294712	0.336760817190374	8722	9.07360384840271
"2"	"V;COND;1;SG"	1.40475639736348	0.157988662964789	10.1989211058665	2.06625084288604	0.641734414130883	572063	13.2570044041571
"3"	"V;COND;2;PL"	0.306943809063969	0.0250960365584658	12.1944303797468	4.06160337552743	0.0743515550448843	165	5.10594547390058
"4"	"V;COND;2;SG"	0.965917017103642	0.0907102990540369	11.1985220020155	3.06298286865972	0.317427373974308	3512	8.16394095475501
"5"	"V;COND;3;PL"	0.672194168228487	0.0626805621826719	11.1996964074886	3.06527238994771	0.203128679160985	140448	11.852592592488
"6"	"V;COND;3;SG"	0.895247568719584	0.0880857668318057	10.2080027013338	2.07141651190275	0.421862117290751	572063	13.2570044041571
"7"	"V;IND;FUT;1;PL"	10.4652531062494	0.881422457915586	12.1686261336916	4.04383607658717	2.59581831062647	11954	9.3888212293842
"8"	"V;IND;FUT;1;SG"	13.045122375421	1.48029369819482	9.17961654894046	1.05196770938446	12.6497416389488	12951	9.46892828422359
"9"	"V;IND;FUT;2;PL"	12.490088236335	1.15194292595801	11.1696113074205	3.04324415278479	4.13969365032012	614	6.41999492814714
"10"	"V;IND;FUT;2;SG"	8.12525091109835	0.820569811299376	10.1519706078824	2.02855711422846	4.00816530970088	7619	8.93840040647301
"11"	"V;IND;FUT;3;PL"	3.56017870799966	0.364449876954563	10.1502095557418	2.02866722548198	1.72802934334935	101949	11.5322279672247
"12"	"V;IND;FUT;3;SG"	1.82459003093059	0.208902831428287	9.16115494376364	1.03676347154608	1.65779531713127	298313	12.6058985498415
"13"	"V;IND;PRS;1;PL"	2.32185252856959	0.233312564389231	10.1338793247535	2.02005682767842	1.10556325562759	147081	11.898738734413
"14"	"V;IND;PRS;1;SG"	18.8794158943889	2.74808610335015	7.37105846258735	-0.781830577808079	-17.5084874304792	12629068	16.3515116990465
"15"	"V;IND;PRS;2;PL"	10.656083833481	1.22729015662728	9.06147403685092	0.945393634840871	10.1293924326162	5248	8.56560233062392
"16"	"V;IND;PRS;2;SG"	1.19898776816215	0.150066750815637	8.29376053962901	0.150252951096121	4.4743906791856	2329564	14.6611916835684
"17"	"V;IND;PRS;3;PL"	3.55650359258476	0.459431900520485	8.20733545469771	0.0906045888460894	7.35863554077115	4019735	15.2067265380243
"18"	"V;IND;PRS;3;SG"	3.34051190920525	0.51802096961042	7.30722381999662	-0.83708340382338	-2.55167755440506	18433214	16.7296647040241
"19"	"V;IND;PST;1;PL;IPFV"	14.4882888862451	1.24827351924857	11.979653102068	3.86974649766511	3.66013611950761	5029	8.52297643617196
"20"	"V;IND;PST;1;PL;PFV"	7.05520182766303	0.716469751027851	10.140635451505	2.02508361204013	3.48993488728543	59807	10.9988779899443
"21"	"V;IND;PST;1;SG;IPFV"	12.7316371256339	1.34874437853074	8.98764607679466	0.875626043405676	12.7236347764021	2741300	14.823942818402
"22"	"V;IND;PST;1;SG;PFV"	17.2977244080272	2.47397896438895	7.34176570458404	-0.806112054329372	-16.6296134471188	434566	12.9821031108863
"23"	"V;IND;PST;2;PL;IPFV"	1.66018045380778	0.152883946250371	10.9852916597025	2.87314056493398	0.614689516356171	86	4.45434729625351
"24"	"V;IND;PST;2;PL;PFV"	22.5355974616634	1.86679437574113	12.240969984738	4.09801594030863	5.53351276873801	214	5.36597601502185
"25"	"V;IND;PST;2;SG;IPFV"	3.29459911707144	0.317565957627838	9.98835662009315	1.87341982701264	1.77000808200698	7561	8.93075873555827
"26"	"V;IND;PST;2;SG;PFV"	3.51090390023521	0.353601134882882	10.2392917369309	2.09510961214165	1.65066996276219	67453	11.1191863380375
"27"	"V;IND;PST;3;PL;IPFV"	0.755953501630992	0.0792847726930348	9.99113860558435	1.87761243939141	0.406300614467178	1220669	14.0149096270704
"28"	"V;IND;PST;3;PL;PFV"	22.1821403212262	2.20739352039726	10.3450953908492	2.2085092014182	10.3484082704934	2353296	14.6713274566528
"29"	"V;IND;PST;3;SG;IPFV"	0.501337791420617	0.0616736293607656	8.99916317991632	0.883514644351464	0.387303031276105	2741300	14.823942818402
"30"	"V;IND;PST;3;SG;PFV"	21.5058651522763	3.09651212921519	7.40095060261416	-0.755389577321338	-20.972766561188	11359225	16.2455407470991
"31"	"V;POS;IMP;1;PL"	9.86040696595633	0.914990708453462	10.4769402035623	2.29452926208651	4.31805538626575	45012	10.7146843998699
"32"	"V;POS;IMP;2;PL"	16.0440726085885	2.06300736501165	8.16952926208651	-0.012881679389313	-13.4548099634178	75917	11.2373959172238
"33"	"V;POS;IMP;2;SG"	4.06970975400047	0.537025473486602	7.38486005089058	-0.797550890585242	-2.80197987012632	13642410	16.4286938809894
"34"	"V;POS;IMP;3;PL"	4.25492461328703	0.494476875652149	8.5300572519084	0.34764631043257	4.53833157545711	273144	12.5177544076298
