"features"	"surprisal"	"normSurp"	"length"	"affixLen"	"normSurpAffix"	"freq"	"log_freq"
"1"	"N;ACC;PL"	12.086707330449	1.3640873874393	9.41363256535753	1.06756595439895	3.86648198911577	176	5.17048399503815
"2"	"N;ACC;SG"	15.3179466264303	1.61988911999651	9.51665273964426	1.17058612868569	10.8836038202004	294	5.68357976733868
"3"	"N;DAT;PL"	12.6345443958493	1.33491193467378	10.5327682941387	2.18670168318014	6.46491504578891	44	3.78418963391826
"4"	"N;DAT;SG"	10.9824940427841	1.24033172010996	8.85722812462696	0.511161513668378	4.47792130859921	43	3.76120011569356
"5"	"N;GEN;PL"	30.2594924097167	2.94049078637666	10.713501253432	2.36743464247344	13.5394416958703	107	4.67282883446191
"6"	"N;GEN;SG"	16.9076178599211	1.92910822847729	9.30201742867375	0.955950817715173	1.24632385170208	183	5.20948615284142
"7"	"N;NOM;PL"	23.4098375836476	2.54529350295965	9.29139310015519	0.94532648919661	3.63471299610092	66	4.18965474202643
"8"	"N;NOM;SG"	6.27011468311215	0.795971759750335	8.36636027217381	0.0202936612152322	3.6354700348256	296	5.69035945432406
"9"	"N;VOC;PL"	8.46871156540774	0.977620055595059	9.28793124030082	0.941864629342247	1.67238597948631	1	0
"10"	"N;VOC;SG"	6.09655322054223	0.766496241654387	8.22812462695476	-0.11794198400382	-6.05813545798785	25	3.2188758248682
"11"	"V;IND;FUT;1;PL"	1.49677742231824	0.140480438476967	11.556420233463	4.14699524427151	0.392300975573409	4	1.38629436111989
"12"	"V;IND;FUT;1;SG"	3.2219829199623	0.393768269889688	8.96065715520968	1.55123216601816	3.08124810966377	33	3.49650756146648
"13"	"V;IND;FUT;2;PL"	0.636375822595319	0.0647057711206224	11.5559878945093	4.14656290531777	0.190441718501925	1	0
"14"	"V;IND;FUT;2;SG"	1.32615596936275	0.1612419041138	9.55685257241677	2.14742758322525	1.1564982649304	26	3.25809653802148
"15"	"V;IND;FUT;3;PL"	1.79703941446636	0.172166643074479	10.5585819282317	3.14915693904021	0.544171778280441	39	3.66356164612965
"16"	"V;IND;FUT;3;SG"	2.75985990821332	0.342753191979908	9.55814958927799	2.14872460008647	2.59097719376881	62	4.12713438504509
"17"	"V;IND;PASS;FUT;1;SG"	2.58869265225388	0.304958532581751	9.53264159100735	2.12321660181582	1.91875698959576	3	1.09861228866811
"18"	"V;IND;PASS;FUT;2;SG"	7.9622681069304	0.668215860112106	11.5054042369217	4.09597924773022	1.57501586052271	1	0
"19"	"V;IND;PASS;FUT;3;PL"	4.27271264508413	0.366148903072162	12.5062689148292	5.0968439256377	0.973974709829171	3	1.09861228866811
"20"	"V;IND;PASS;FUT;3;SG"	6.40983558961427	0.562035983571572	11.504971897968	4.09554690877648	1.29177288755169	11	2.39789527279837
