"features"	"meansurp"	"normsurp"	"len"	"freq"	"log_freq"
"1"	"N;ACC;PL"	7.3815080658765	0.684632690250076	11.9676661708291	318677	12.6719333296179
"2"	"N;ACC;SG"	5.09200225092098	0.568304896746453	9.64049166209974	1824503	14.4168181791434
"3"	"N;AT+ABL;PL"	5.47922460987769	0.440937698116565	12.968436716792	20722	9.9389512168117
"4"	"N;AT+ABL;SG"	2.22482470628542	0.224768396753397	11.2549127064903	87903	11.3839892127837
"5"	"N;AT+ALL;PL"	8.67981355391264	0.7071973354541	12.967353010256	20088	9.90787790083742
"6"	"N;AT+ALL;SG"	5.70037463249716	0.528053359669695	11.2611759179519	127411	11.7551733606221
"7"	"N;AT+ESS;PL"	5.55411880308853	0.472638942870899	12.9669615595397	18799	9.84155895591396
"8"	"N;AT+ESS;SG"	0.885296806087622	0.0869894732975122	11.2605495968058	68882	11.1401501746847
"9"	"N;DAT;PL"	8.17265456713821	0.671482958112547	12.967353010256	54737	10.9102951765623
"10"	"N;DAT;SG"	6.52260272112149	0.650078733371898	11.2607844672356	421540	12.951669951091
"11"	"N;FRML;PL"	5.51487286854849	0.406807034147859	13.9675095905426	1645	7.40549566319947
"12"	"N;FRML;SG"	11.5983050087696	1.01003917468349	12.2591403742269	112822	11.6335666344901
"13"	"N;IN+ABL;PL"	1.82445039942606	0.15121947565462	12.9677444609724	31893	10.3701418289567
"14"	"N;IN+ABL;SG"	0.248756470653595	0.0246037639381753	11.2206216237376	188118	12.1448247044907
"15"	"N;IN+ALL;PL"	12.7652760830745	0.998880777135454	11.9684490722618	11933	9.38706295036966
"16"	"N;IN+ALL;SG"	2.40285375119852	0.267950945478632	10.2206216237376	235367	12.3689012770653
"17"	"N;IN+ESS;PL"	5.23118256536628	0.412033969259359	12.9684490722618	155867	11.9567583584896
"18"	"N;IN+ESS;SG"	1.44643200340442	0.145841288087926	11.2203084631645	1240508	14.0310315311057
"19"	"N;INST;PL"	8.80979840676663	0.727222732178169	12.9677444609724	98994	11.5028145212195
"20"	"N;INST;SG"	3.94245546573006	0.390300128089639	11.2084866515306	576398	13.2645536732889
"21"	"N;NOM;PL"	4.52842313468265	0.476216586361359	9.96946684412432	1816176	14.4122437497469
"22"	"N;NOM;SG"	2.30303392272517	0.322948262726565	8.25812260236436	14602495	16.4967029624894
"23"	"N;ON+ABL;PL"	1.33332896068267	0.107154977685694	12.9672747201127	21064	9.95532070117615
"24"	"N;ON+ABL;SG"	0.696787386137716	0.0666464381341848	11.2614107883817	141520	11.8601963288337
"25"	"N;ON+ALL;PL"	0.485983963587431	0.0422869936037148	11.9680576215454	48660	10.7926126163375
"26"	"N;ON+ALL;SG"	1.00316017780708	0.111690708475993	10.2620371095279	571757	13.2564693549233
"27"	"N;ON+ESS;PL"	8.29920390061299	0.748262697303953	11.9688405229782	71326	11.1750161963129
"28"	"N;ON+ESS;SG"	3.45239675447467	0.354274822658777	9.90534721678541	1207315	14.0039094436614
"29"	"N;PRP;PL"	8.60015979409292	0.719342437401873	12.967353010256	3198	8.0702808933939
