Features	Surprisal	Norm Surprisal	Length
V;IND;PST;DEF;1;PL	6.849193896658764	0.6784959260025408	10.64546748932131
N;DAT;SG	6.522602721121488	0.650078733371898	11.260784467235576
N;ACC;SG	5.092002250920979	0.5683048967464528	9.640491662099741
V;NFIN;2;SG	4.528370556060611	0.4641974939792775	10.39202657807309
V;IND;PST;INDF;3;PL	12.05455806149814	1.1915108138338588	10.564309444708115
N;IN+ESS;PL	5.231182565366282	0.41203396925935853	12.968449072261802
N;IN+ABL;SG	0.24875647065359457	0.024603763938175333	11.220621623737571
N;PRP;SG	9.041830554975789	0.8444176407818282	11.260784467235576
N;PRP;PL	8.600159794092919	0.7193424374018731	12.967353010256009
N;IN+ABL;PL	1.8244503994260615	0.15121947565461952	12.967744460972364
V;IND;PST;DEF;1;SG	2.6657767882681895	0.23963408585741156	11.64546748932131
N;ACC;PL	7.381508065876501	0.6846326902500758	11.967666170829093
N;DAT;PL	8.172654567138208	0.6714829581125472	12.967353010256009
N;IN+ESS;SG	1.4464320034044245	0.14584128808792568	11.220308463164487
V;NFIN;2;PL	12.24636523822876	1.0231279505002644	12.39202657807309
V;IND;PST;INDF;3;SG	6.1729085913722574	0.6434174511869131	9.347413383958234
V;NFIN;3;PL	35.85575346669692	3.2754922876560153	11.39202657807309
V;IND;PST;INDF;2;SG	29.793229225322744	2.9374619919731764	10.564309444708115
N;INST;PL	8.809798406766634	0.7272227321781691	12.967744460972364
N;ON+ESS;SG	3.4523967544746736	0.3542748226587774	9.905347216785406
N;ON+ABL;PL	1.3333289606826682	0.1071549776856943	12.967274720112737
N;AT+ALL;SG	5.700374632497159	0.5280533596696954	11.26117591795193
V;COND;PRS;DEF;1;PL	11.773924711511597	1.067451949801048	11.410536307546275
N;ON+ABL;SG	0.6967873861377155	0.06664643813418476	11.261410788381744
V;IND;PRS;DEF;1;PL	4.733475623693237	0.48015490085786794	10.187944945420028
V;COND;PRS;DEF;1;SG	3.9129711868174004	0.34379587994716926	11.410536307546275
N;AT+ALL;PL	8.679813553912641	0.7071973354540997	12.967353010256009
N;ON+ESS;PL	8.299203900612987	0.7482626973039527	11.968840522978157
N;INST;SG	3.94245546573006	0.39030012808963893	11.208486651530572
V;NFIN;3;SG	28.310960210546842	2.8529990549880893	10.39202657807309
V;IND;PST;INDF;2;PL	9.372827070258879	0.7737667398135211	12.561936402467964
N;AT+ESS;SG	0.885296806087622	0.08698947329751223	11.260549596805761
V;COND;PRS;DEF;3;SG	0.6602348170906083	0.07322366556459547	9.410536307546275
N;FRML;PL	5.514872868548488	0.40680703414785907	13.967509590542551
N;TRANS;PL	1.251347091534322	0.11036684408504199	11.968449072261802
